requirement,responsibility,from,to
Опыт разработки на <highlighttext>Python</highlighttext> от года. Успешные кейсы по созданию и внедрению чат-ботов. Опыт интеграции с внешними API и...,"Нейро-контроль качества. Нейро-техподдержка. Нам нужен топовый разработчик, который сможет создавать и внедрять нейро-сотрудников под разные бизнес-процессы...",150000.0,250000.0
"Увлечен миром программирования и <highlighttext>Python</highlighttext> - твой любимый язык, ты легко осваиваешь новые технологии и любишь решать сложные задачи. ","Разрабатывать backend-часть веб-приложений на <highlighttext>Python</highlighttext>: Ты будешь создавать логику приложения, разрабатывать API и интегрировать его с базами данных. ",60000.0,60000.0
"...для управления состоянием. Опыт с инструментами сборки, такими как Webpack или Vite. Знание CI/CD инструментов. Знание C, C++, <highlighttext>Python</highlighttext>.",Разработка новых пользовательских интерфейсов с использованием React или Vue.js. Поддержка существующих фронтенд-приложений. Написание тестов для обеспечения качества кода. ,1200.0,1200.0
Знание <highlighttext>Python</highlighttext>. Знание Linux. Приветствуется: Любой опыт работы с облаками и Kubernetes. Возможность оформления АйТи-отсрочки от армии (для военнообязанных).,Знание <highlighttext>Python</highlighttext>. Знание Linux. Приветствуется: Любой опыт работы с облаками и Kubernetes. Возможность оформления АйТи-отсрочки от армии (для военнообязанных).,85000.0,85000.0
"Чем будешь заниматься: Опыт в разработке игр, знание языков программирования, движков и т.д. Аналитическое и творческое мышление в тесной...","Разрабатывать разнообразные игры (консоли, мобильные и т.д.). Генерировать идеи в рамках своей специализации. Улучшать текущие разработки. Работать в связке...",150000.0,400000.0
"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, <highlighttext>Python</highlighttext>). Понимание принципов работы реляционных баз данных. ",Сбор и анализ требований к системам у менеджеров продукта и заказчиков от бизнеса. Разработка технических заданий и передача их разработчикам. ,80000.0,140000.0
Не менее 1 года опыта работы в роли Data Scientist или аналогичной. Углубленные знания <highlighttext>Python</highlighttext> и SQL. Опыт работы с...,"Анализ данных и проведение тестов для проверки бизнес-гипотез с использованием AI-технологий. Разработка и оптимизация моделей машинного обучения, включая...",170000.0,170000.0
Знания <highlighttext>Python</highlighttext>: Уверенное владение <highlighttext>Python</highlighttext> для написания кода и интеграции моделей. Понимание REST: Опыт работы с REST API для взаимодействия...,"Генеративные модели: Разработка и оптимизация моделей для генерации текста, изображений и других данных. <highlighttext>Python</highlighttext>: Написание кода на <highlighttext>Python</highlighttext> для интеграции...",90000.0,90000.0
"Высшее образование (желательно техническое или математическое). Плюсом будет знание языков программирования (например, SQL, <highlighttext>Python</highlighttext>). Понимание принципов работы реляционных баз данных. ",Сбор и анализ требований к системам у менеджеров продукта и заказчиков от бизнеса. Разработка технических заданий в письменном виде и...,75000.0,125000.0
Умение работать с Sqlalchemy или аналогом для взаимодействия с БД. Владение pandas в части работы с таблицами. Наличие опыта работы...,"Писать скрипты на <highlighttext>python</highlighttext> для автоматизированного сбора и подготовки данных для различных систем(BI, CRM). Автоматизировать расчет инвестиционных продуктов на...",100000.0,100000.0
Опыт коммерческой разработки от 3 лет. Опыт работы с React и Next. Опыт работы с Tailwind CSS. Умение и готовность...,"Редизайн текущего сайта (совместно с дизайнером). Добавление нового функционала, в соответствии с роадмапом. Оптимизация работы клиентской части (скроллинг, popup - окна).",200000.0,200000.0
"Знания: <highlighttext>Python</highlighttext>, Django, HTML, CSS, SQL, JavaScript, jQuery, Ajax, XML, JSON. Опыт работы с Nginx. Навыки верстки под современные браузеры...",Разработка высоконагруженных web-проектов.,120000.0,150000.0
От 2+ лет коммерческого опыта в релевантном стеке. Опыт проектирования сервисов. Опыт работы с aiohttp и asyncio. ,Проектирование и разработка новых фич и интеграций. Небольшой процент поддержки и оптимизации кода. Ревью кода других разработчиков команды. ,230000.0,230000.0
"Умение тестировать REST и использовать тестовые инструменты (Postman, Insomnia и т.д.). Знание PHP, JavaScript, <highlighttext>Python</highlighttext> (на достаточном для автоматизации...","Участие в формировании требований к продукту и тестирование требований. Обнаружение, оформление и контроль исправления обнаруженных багов. Составление тестовых сценариев. ",100000.0,100000.0
"Понимание пространственных данных, их работы и строения. Знание структурированного языка запросов (SQL). Знание основы программирования(<highlighttext>Python</highlighttext>, C++). Знание и понимание...",Сбор и обработка пространственных данных. Пространственный анализ. Подготовка и написание аналитических текстов и рекомендаций к концепции проекта на основе результатов...,150000.0,250000.0
"Владение инструментами анализа данных, такими как Excel, SQL или библиотеки <highlighttext>Python</highlighttext> (Pandas, NumPy), для обработки и очистки данных. - ","Создание аналитических отчетов для руководства, отражающих динамику всех направлений. Обеспечение прозрачности и точности в сборе данных, отчетности и визуализации. ",150000.0,200000.0
Необходимые навыки: — Ansible. — Apache Kafka. — OpenShift. — REST API. — понимание микросервисной архитектуры.,изучать характеристики нагрузочных тестов. — измерять параметры при запуске тестов и их влияние. — производить подготовку стенда перед запуском нагрузочного тестирования. — ,71800.0,71800.0
"Понимание текущих SOTA подходов в computer vision и ML (GAN, diffusion). Знание <highlighttext>Python</highlighttext>, Pytorch. Знание основных инструментов и библиотек для...","Иследовать, разрабатывать и внедрять современные технологии в области обработки изображений и видео. Совершенствовать текущие технологии и пайплайны. Следить за новейшими...",150000.0,150000.0
"Построение и поддержка моделей классификации и регрессии (знание принципов работы рекомендательных систем будет плюсом). Базовые знания: Pandas, NumPy. ","Сбор, подготовка и анализ данных. Визуализация, построение графиков. Разметка данных (ручная и автоматизированная). Работа в команде от 3-х человек.",180000.0,220000.0
"Опыт в разработке. Будет плюсом: Знание <highlighttext>Python</highlighttext>/JavaScript. Опыт работы с моделями различной размерности 7b, 70b. ",Разработка и настройка чат-ботов на основе LLM в визуальном редакторе. Построение логики работы чат-ботов в соответствии с требованиями...,100000.0,300000.0
